,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
844,...............(((((....((........))......)))))............((((....(((.....))).....................))))............,-10.910000026226044,......................((((((((((((((.....(((..............)))((((.(((......))))))).....))).)))))))...))))..........,-20.5,115,302,302,5416,31,1,240
845,.(((((......................((((.((((.....))))).((((.(((((.........)))))...))))......)))).........)))).............,-17.090000241994858,.(((((((.(((..(((.......)))..))).)))...))))..(..((((.(((........(((((....)))))((.......))......)))))))..)..........,-28.0,115,263,263,4542,79,1,213
846,...(((((...(((....)))...(((((((.......))).(((((.....((((..((((.)))))..........))))..))))..........))))).......)))).,-16.819999873638153,................(((((.....(((.(((...(((((.((.(((.....(((..((((...(((.....)))..))))...)))..))).)))))))))).))))))))..,-29.399999618530273,115,284,284,4982,75,1,233
847,..((((.......(((())))((((((.....(((((((((((((............))))))))))....))))))....(((((()))))))...............)))))),-25.96999979019165,(((.((((.....(((......)))..)))))))(..((((((((((.(((((....((((.(((((.....))))...).))))....)))))..)))))...)))))..)...,-33.0,115,290,290,5261,69,1,246
848,.....(((((..(((((....)).)))......(((((((())))...)))))))))(((((.........((......))..............)))))...............,-11.540000170469284,.....(((((..(((((((.(.((........)).).))))......)))..)))))((((((.((((..(((.(((((......)))))...))).....)))).))))))...,-23.600000381469727,115,307,307,5868,42,1,243
849,..(((...........)))...(((((.......)))))((....)).((((....((((........))))..............))))....(((.....)))..........,-14.87000024318695,...(((.....((((((.((((.((((...(((.((((((.....))))))...)))......)))))))).)).)))).....))).......(((.....)))..........,-24.299999237060547,115,290,290,5081,69,1,220
850,...(((........))).........((....))((((..........(())))....))...(((((.((((.....)))))...........)))).................,-13.40000006556511,(((((((......((...((((...))))...))(((((..........)))))..........(((..((((.((...((((.....))))))))))..)))))))))).....,-20.899999618530273,115,294,294,5161,35,1,239
851,.......((((((.......))))))......((((((((((()))...))))..........((((....)))).))))......(((....(((....)))...)))......,-15.240000188350677,((((.(.((((((.......)))))).).(((..(((((....)))))...))).........((((.........))))......))))((((((..........))))))...,-22.600000381469727,115,298,298,5715,48,1,217
852,......(((......((((.))).(((....((((......))))....(((....)))))))...)))...((((.............))))...((((.........))))..,-16.119999930262566,.....((.(((((((((.(((((.(((..(.(((((..((((.((....)).))))..))))))..)))....)))))..))))))..)))..)).((((.........))))..,-28.5,115,287,287,4749,57,1,232
853,....(((........((((........((((..........))))............((((...))).....)))).)))).....(((....(((()))))))...........,-7.800000011920929,.(((((.(....((((...........((((..........))))............((((.(((...))).))))..........((((......))))))))..).)))))..,-14.399999618530273,115,285,285,5036,42,1,220
854,....((((((((....((((.........))))...((((((...))))))))))(((...))))................))).(((((.............))))).......,-15.459999799728394,.((.((((((.(((......))))))))).))....((((((.......))))))(((((.(((.((....)).)))..))))).((((...(((......))))))).......,-26.5,115,290,290,5012,32,1,199
855,......................(((((.....((((.....(((........))).....(((....((((..........)))).....))).)))).......))))).....,-8.039999820291996,............................(((.((.((((((((..(........)..)).)))))).)).)))..(((....)))..((((((((((.......)))))).)))),-23.100000381469727,115,296,296,5091,22,1,228
856,.........((((((..............))))))........(((.......)))..........((((......)))).............((((.....)))).........,-8.799999952316284,..(((......(((...((((((.........((((((((...(((.......)))))))))))...(((..((((....))))..)))..))))))..))).....))).....,-27.0,115,288,288,5087,7,1,188
857,.((((..((((.(((((......))..)))))))...........(((....))).....(((((.......................(((.))))))))....)))).......,-14.720000207424164,.((((..((((.(((((......))..)))))))......(((((...))))).....(.(((((.(((..((((.........))))))).))))).).....)))).......,-31.200000762939453,115,300,300,5404,128,1,274
